team,player,n_matches,n_passes,actual_completion_rate,mean_xpass,completion_over_expected,mean_success_value,mean_failure_cost,total_expected_success_value,expected_success_value_per_100_passes,total_expected_failure_cost,expected_failure_cost_per_100_passes,total_expected_net_value,expected_net_value_per_100_passes,total_realized_value,realized_value_per_100_passes,total_execution_residual,execution_residual_per_100_passes,eligible_primary,actual_completion_rate_ci_low,actual_completion_rate_ci_high,mean_xpass_ci_low,mean_xpass_ci_high,execution_residual_per_100_passes_ci_low,execution_residual_per_100_passes_ci_high,expected_success_value_per_100_passes_ci_low,expected_success_value_per_100_passes_ci_high,expected_failure_cost_per_100_passes_ci_low,expected_failure_cost_per_100_passes_ci_high,expected_net_value_per_100_passes_ci_low,expected_net_value_per_100_passes_ci_high,realized_value_per_100_passes_ci_low,realized_value_per_100_passes_ci_high,decision_execution_quadrant,team_decision_reference,team_execution_reference,decision_rank_within_team,execution_rank_within_team
AS Monaco,Adama Traoré,6,180,0.8666666666666667,0.8505039084444445,0.01616275822222222,0.009975967738555554,0.09034986512777778,0.8328267023799999,0.4626815013222222,2.08866881432,1.1603715635111111,-1.2558421146329999,-0.697690063685,-1.7774892386399999,-0.9874940214666665,2.9092964799999996,1.6162758222222222,False,0.8490566037735849,0.8870967741935484,0.830545273504397,0.880540941499694,-0.21433141819646973,3.6120583511111115,-0.01636957669856638,1.1603543582614377,1.0821583184684016,1.3262107778071455,-1.2095736283570953,-0.09618133209029123,-1.6375274644778695,-0.3575455216504547,Not eligible,,,11,11
AS Monaco,Almamy Touré,10,349,0.6905444126074498,0.6840420226246419,0.006502390326647566,0.05292269214580516,0.08124593304011463,6.3194989158326,1.8107446750236678,7.2990359802999984,2.091414321002865,-0.979537075124,-0.2806696490326648,-0.6557801571559999,-0.18790262382693407,2.2693342240000005,0.6502390326647566,True,0.6213780788630757,0.7493265011485751,0.6351492742762526,0.7256506406527559,-2.545065443537069,3.622490084525179,1.555823537486588,2.0564649139978695,1.829006329796019,2.408738453373282,-0.5610743328440498,0.04381490628917305,-0.7371547035047754,0.29052103435283894,High decision value / High execution,-0.5409120527621053,0.550318538787024,3,13
AS Monaco,Andrea Raggi,31,985,0.7705583756345178,0.7705197732944162,3.860225888324681e-05,0.02548429495753807,0.10118553585177664,9.868727263636,1.0019012450391878,12.754999708025,1.2949238282258884,-2.886272511902,-0.2930225900408122,-3.784768063748,-0.3842404125632487,0.038023224999998106,0.003860225888324681,True,0.729866217691011,0.8063231866363283,0.7449349202050508,0.7954483103233753,-2.429309528108423,2.2714492142600067,0.7717214022716169,1.2629858702224788,1.1271006875924847,1.4970484404367814,-0.4557939514193794,-0.1332709840434037,-0.7868248702581718,0.011100809550726789,High decision value / Low execution,-0.5409120527621053,0.550318538787024,4,17
AS Monaco,Anthony Martial,3,56,0.7142857142857143,0.7210067232142857,-0.006721008035714285,0.0451539464,0.11737727739285712,0.70260759867,1.2546564261964286,1.9415367399,3.4670298926785716,-1.2389291665000002,-2.2123735116071432,-1.2317507637,-2.1995549351785715,-0.37637645,-0.6721008035714285,False,0.6153846153846154,0.8947368421052632,0.6968607661538462,0.736111885,-11.111188499999999,17.62894063157895,-0.060749515263157874,2.5291369558333336,2.8111604066666667,5.157614199230769,-4.333328476923078,-0.28202358333333316,-3.2769193615384618,-0.5130795421052633,Not eligible,,,27,19
AS Monaco,Bernardo Mota Veiga de Carvalho e Silva,32,911,0.7607025246981339,0.7090641638748629,0.05163836078924259,0.04779650349888255,0.09449728638638859,9.789878168206002,1.0746298757635568,25.304505899760002,2.7776625576026346,-15.514627735876,-1.7030326823135016,-13.037929516768001,-1.4311667965716797,47.042546679,5.163836078924259,True,0.7299470695002643,0.7935850505607763,0.6927925912826554,0.7286272840448819,2.349015139677132,7.97090036944255,0.7752093704610084,1.4058328887374427,2.489812199414206,3.0812785186227063,-1.9896556472405185,-1.4072604335696324,-2.059921633050423,-0.7974708891444506,Low decision value / High execution,-0.5409120527621053,0.550318538787024,24,2
AS Monaco,Danijel Subašić,36,579,0.6321243523316062,0.6407892237685665,-0.008664871316062174,0.028343975735604494,0.08581692817098446,3.8618359861150005,0.6669837627141624,7.917552829765,1.3674529930509498,-4.055716817065999,-0.700469225745423,-3.4254824500349996,-0.5916204576917098,-5.016960491999999,-0.8664871316062174,True,0.584838461118251,0.6783993739187743,0.6021256871287468,0.6795904463749787,-3.6374535552558873,1.835827204504931,0.594195579471253,0.7399431877626227,1.25800289596676,1.474429969334508,-0.7831963409320919,-0.6180154234163207,-0.8466552253023187,-0.31661416967835365,Low decision value / Low execution,-0.5409120527621053,0.550318538787024,12,21
AS Monaco,Elderson Uwa Echiejile,19,671,0.7153502235469449,0.7294632677183308,-0.01411304458867362,0.03826171127596572,0.08414974457675112,8.388971663977001,1.2502193239906112,11.958485839929999,1.7821886497660206,-3.56951419619452,-0.5319693287920298,-6.011172387945,-0.8958528148949328,-9.469852919,-1.411304458867362,True,0.6640958263764684,0.7570388152966819,0.7083170767306459,0.748120015444758,-4.9619644387123225,1.6433445434521639,1.006588851143905,1.4893486002372074,1.5927378942446284,1.9997650661004256,-0.6935746271699852,-0.37994642993189337,-1.537346561753031,-0.3382194413825402,High decision value / Low execution,-0.5409120527621053,0.550318538787024,9,23
AS Monaco,Farès Bahlouli,6,92,0.7391304347826086,0.7622042219565216,-0.023073787499999998,0.0320546064927174,0.0848394309673913,0.37086982303000005,0.4031193728586957,1.84672024766,2.007304617021739,-1.4758504041000002,-1.6041852218478265,-1.3922527252100003,-1.5133181795760873,-2.12278845,-2.30737875,False,0.6740700483091787,0.8571428571428571,0.7166224860638298,0.8159543583675889,-5.356932141732283,4.570851823491378,-0.15459441646913571,0.8568815083935412,1.4546208708857145,2.392325823142857,-1.83728421373332,-1.4085486472340427,-2.51607101872043,-0.8003903416375001,Not eligible,,,21,24
AS Monaco,Fábio Alexandre da Silva Coentrão,15,529,0.7334593572778828,0.7290423543648394,0.004417002627599244,0.052619991821897916,0.08284657931947069,10.108645141172001,1.9108970021119094,9.580341613589999,1.8110286604139885,0.5283034969659999,0.09986833591039695,-0.7353719328459998,-0.1390117075323251,2.33659439,0.4417002627599244,True,0.6971715539136458,0.7692352941176471,0.7019040292427612,0.7538957400932098,-2.4760207807764076,3.5575293090178373,1.4588074767881123,2.3793512158004044,1.5923716705345967,2.1111902366675235,-0.46041077274124403,0.6310476934457552,-0.7526630521152997,0.3535268952559592,High decision value / Low execution,-0.5409120527621053,0.550318538787024,1,15
AS Monaco,Fábio Henrique Tavares,34,1493,0.7950435365036839,0.7652285699919624,0.029814966581379772,0.03065015641118352,0.08591692306162091,17.6020973492016,1.1789750401340655,25.372093650522,1.6994034595125251,-7.769996276929,-0.5204284177447421,-6.028406841742999,-0.4037780871897521,44.513745106,2.981496658137978,True,0.767212530068069,0.8175165669433185,0.7463833559468641,0.7814563218582382,0.8914449215569331,4.889063534315676,0.91622302117882,1.488377194717271,1.539337790810308,1.8860580160805387,-0.73645554002313,-0.30140352089289246,-0.8116908515779052,0.0005612256137641585,High decision value / High execution,-0.5409120527621053,0.550318538787024,8,7
