team,n_matches,n_passes,actual_completion_rate,mean_xpass,completion_over_expected,mean_success_value,mean_failure_cost,total_expected_success_value,expected_success_value_per_100_passes,total_expected_failure_cost,expected_failure_cost_per_100_passes,total_expected_net_value,expected_net_value_per_100_passes,total_realized_value,realized_value_per_100_passes,total_execution_residual,execution_residual_per_100_passes,actual_completion_rate_ci_low,actual_completion_rate_ci_high,mean_xpass_ci_low,mean_xpass_ci_high,execution_residual_per_100_passes_ci_low,execution_residual_per_100_passes_ci_high,expected_success_value_per_100_passes_ci_low,expected_success_value_per_100_passes_ci_high,expected_failure_cost_per_100_passes_ci_low,expected_failure_cost_per_100_passes_ci_high,expected_net_value_per_100_passes_ci_low,expected_net_value_per_100_passes_ci_high,realized_value_per_100_passes_ci_low,realized_value_per_100_passes_ci_high
AS Monaco,38,15713,0.766880926621269,0.7602995356192961,0.006581390979507413,0.028428878679839387,0.09226939740838795,134.6341027040188,0.8568325762363572,288.154414435959,1.8338599531340862,-153.5203120490652,-0.9770273789159627,-167.0348637751927,-1.0630361087964912,103.41339646099998,0.6581390979507412,0.7536640642205893,0.7803056779551568,0.7508213029359954,0.7699672488458108,-0.08574438771269655,1.3753341005353235,0.7807126900838197,0.9384505289273297,1.7455734583231275,1.9276363799068652,-1.0483383749817001,-0.9013352802599064,-1.1976551894001153,-0.9280611864353959
Athletic Club,38,16252,0.7353556485355649,0.726484239753938,0.008871408816022644,0.029976268292350224,0.09507970725858354,139.7097916236209,0.8596467611593706,342.51788855662403,2.1075430012098453,-202.80809684666008,-1.2478962395191981,-205.6608757230488,-1.2654496414167413,144.17813607800002,0.8871408816022645,0.7163986630737509,0.7527805634053202,0.7120500089228313,0.7394770847109134,0.24107089819459115,1.4910396164534037,0.780214428627175,0.9395956811102097,2.0104249297226593,2.215552010907358,-1.3156309921842184,-1.1867980598052106,-1.4145235741896192,-1.130549101459834
Bayer Leverkusen,34,22830,0.8836618484450285,0.8609921920335085,0.022669656428646514,0.01608441399124737,0.09876322425843188,150.81328036658883,0.6605925552632012,292.010506882918,1.2790648571306087,-141.197226363133,-0.6184723011963776,-127.2712903214053,-0.5574738954069439,517.548256266,2.2669656428646516,0.873461081159297,0.8933610993927226,0.8547424514423428,0.867260769831509,1.7119977552708974,2.8080260146820843,0.5991249362890905,0.7243528035615905,1.1985700276741647,1.36100561299133,-0.6829158594613861,-0.5537443489553241,-0.6630286785386753,-0.4528288449209722
