team,player,n_matches,n_passes,actual_completion_rate,mean_xpass,completion_over_expected,mean_success_value,mean_failure_cost,total_expected_success_value,expected_success_value_per_100_passes,total_expected_failure_cost,expected_failure_cost_per_100_passes,total_expected_net_value,expected_net_value_per_100_passes,total_realized_value,realized_value_per_100_passes,total_execution_residual,execution_residual_per_100_passes,eligible_primary,actual_completion_rate_ci_low,actual_completion_rate_ci_high,mean_xpass_ci_low,mean_xpass_ci_high,execution_residual_per_100_passes_ci_low,execution_residual_per_100_passes_ci_high,expected_success_value_per_100_passes_ci_low,expected_success_value_per_100_passes_ci_high,expected_failure_cost_per_100_passes_ci_low,expected_failure_cost_per_100_passes_ci_high,expected_net_value_per_100_passes_ci_low,expected_net_value_per_100_passes_ci_high,realized_value_per_100_passes_ci_low,realized_value_per_100_passes_ci_high,decision_execution_quadrant,team_decision_reference,team_execution_reference,decision_rank_within_team,execution_rank_within_team,full_sample_baseline_per_100_passes,centered_expected_net_value_per_100_passes,centered_expected_net_value_per_100_passes_ci_low,centered_expected_net_value_per_100_passes_ci_high,centered_net_value_ci_direction,execution_ci_direction,eligible_primary_rechecked,corrected_decision_rank_within_team,corrected_execution_rank_within_team,eligible_players_in_team
AS Monaco,Andrea Raggi,31,985,0.7705583756345178,0.7705197732944162,3.860225888324681e-05,0.025484294957538,0.1011855358517766,9.868727263636,1.0019012450391878,12.754999708025,1.2949238282258884,-2.886272511902,-0.2930225900408122,-3.784768063748,-0.3842404125632487,0.0380232249999981,0.0038602258883246,True,0.729866217691011,0.8063231866363283,0.7449349202050508,0.7954483103233753,-2.429309528108423,2.2714492142600067,0.7717214022716169,1.2629858702224788,1.1271006875924847,1.4970484404367814,-0.4557939514193794,-0.1332709840434037,-0.7868248702581718,0.0111008095507267,High decision value / Low execution,-0.5409120527621053,0.550318538787024,4,17,-0.9528630592451951,0.6598404692043829,0.4970691078258157,0.8195920752017913,Above full-sample baseline,Includes zero,True,3,10,18
AS Monaco,Anthony Martial,3,56,0.7142857142857143,0.7210067232142857,-0.0067210080357142,0.0451539464,0.1173772773928571,0.70260759867,1.2546564261964286,1.9415367399,3.467029892678572,-1.2389291665000002,-2.2123735116071432,-1.2317507637,-2.1995549351785715,-0.37637645,-0.6721008035714285,False,0.6153846153846154,0.8947368421052632,0.6968607661538462,0.736111885,-11.1111885,17.62894063157895,-0.0607495152631578,2.5291369558333336,2.8111604066666667,5.157614199230769,-4.333328476923078,-0.2820235833333331,-3.2769193615384618,-0.5130795421052633,Not eligible,,,27,19,-0.9528630592451951,-1.259510452361948,-3.3804654176778826,0.670839475911862,Includes full-sample baseline,Includes zero,False,,,18
AS Monaco,Bernardo Mota Veiga de Carvalho e Silva,32,911,0.7607025246981339,0.7090641638748629,0.0516383607892425,0.0477965034988825,0.0944972863863885,9.789878168206002,1.0746298757635568,25.30450589976,2.7776625576026346,-15.514627735876,-1.7030326823135016,-13.037929516768,-1.4311667965716797,47.042546679,5.163836078924259,True,0.7299470695002643,0.7935850505607763,0.6927925912826554,0.7286272840448819,2.349015139677132,7.97090036944255,0.7752093704610084,1.4058328887374427,2.489812199414206,3.0812785186227063,-1.9896556472405185,-1.4072604335696324,-2.059921633050423,-0.7974708891444506,Low decision value / High execution,-0.5409120527621053,0.550318538787024,24,2,-0.9528630592451951,-0.7501696230683065,-1.0367925879953233,-0.4543973743244373,Below full-sample baseline,Above xPass expectation,True,16,1,18
AS Monaco,Danijel Subašić,36,579,0.6321243523316062,0.6407892237685665,-0.0086648713160621,0.0283439757356044,0.0858169281709844,3.861835986115001,0.6669837627141624,7.917552829765,1.3674529930509498,-4.055716817065999,-0.700469225745423,-3.425482450035,-0.5916204576917098,-5.016960491999999,-0.8664871316062174,True,0.584838461118251,0.6783993739187743,0.6021256871287468,0.6795904463749787,-3.6374535552558873,1.835827204504931,0.594195579471253,0.7399431877626227,1.25800289596676,1.474429969334508,-0.7831963409320919,-0.6180154234163207,-0.8466552253023187,-0.3166141696783536,Low decision value / Low execution,-0.5409120527621053,0.550318538787024,12,21,-0.9528630592451951,0.25239383349977207,0.1696667183131032,0.33484763582887445,Above full-sample baseline,Includes zero,True,9,13,18
AS Monaco,Elderson Uwa Echiejile,19,671,0.7153502235469449,0.7294632677183308,-0.0141130445886736,0.0382617112759657,0.0841497445767511,8.388971663977001,1.2502193239906112,11.95848583993,1.7821886497660206,-3.56951419619452,-0.5319693287920298,-6.011172387945,-0.8958528148949328,-9.469852919,-1.411304458867362,True,0.6640958263764684,0.7570388152966819,0.7083170767306459,0.748120015444758,-4.9619644387123225,1.643344543452164,1.006588851143905,1.4893486002372074,1.5927378942446284,1.9997650661004256,-0.6935746271699852,-0.3799464299318933,-1.537346561753031,-0.3382194413825402,High decision value / Low execution,-0.5409120527621053,0.550318538787024,9,23,-0.9528630592451951,0.42089373045316525,0.2592884320752099,0.5729166293133018,Above full-sample baseline,Includes zero,True,7,15,18
AS Monaco,Farès Bahlouli,6,92,0.7391304347826086,0.7622042219565216,-0.0230737874999999,0.0320546064927174,0.0848394309673913,0.37086982303,0.4031193728586957,1.84672024766,2.007304617021739,-1.4758504041000002,-1.6041852218478263,-1.3922527252100003,-1.5133181795760873,-2.12278845,-2.30737875,False,0.6740700483091787,0.8571428571428571,0.7166224860638298,0.8159543583675889,-5.356932141732283,4.570851823491378,-0.1545944164691357,0.8568815083935412,1.4546208708857145,2.392325823142857,-1.83728421373332,-1.4085486472340427,-2.51607101872043,-0.8003903416375001,Not eligible,,,21,24,-0.9528630592451951,-0.6513221626026312,-0.884421154488125,-0.4556855879888476,Below full-sample baseline,Includes zero,False,,,18
AS Monaco,Fábio Alexandre da Silva Coentrão,15,529,0.7334593572778828,0.7290423543648394,0.0044170026275992,0.0526199918218979,0.0828465793194706,10.108645141172,1.9108970021119092,9.58034161359,1.8110286604139885,0.5283034969659999,0.0998683359103969,-0.7353719328459998,-0.1390117075323251,2.33659439,0.4417002627599244,True,0.6971715539136458,0.7692352941176471,0.7019040292427612,0.7538957400932098,-2.476020780776408,3.5575293090178373,1.4588074767881123,2.3793512158004044,1.5923716705345967,2.1111902366675235,-0.460410772741244,0.6310476934457552,-0.7526630521152997,0.3535268952559592,High decision value / Low execution,-0.5409120527621053,0.550318538787024,1,15,-0.9528630592451951,1.0527313951555919,0.4924522865039511,1.5839107526909504,Above full-sample baseline,Includes zero,True,1,9,18
AS Monaco,Fábio Henrique Tavares,34,1493,0.7950435365036839,0.7652285699919624,0.0298149665813797,0.0306501564111835,0.0859169230616209,17.6020973492016,1.1789750401340655,25.372093650522,1.6994034595125251,-7.769996276929,-0.5204284177447421,-6.028406841742999,-0.4037780871897521,44.513745106,2.981496658137978,True,0.767212530068069,0.8175165669433185,0.7463833559468641,0.7814563218582382,0.8914449215569331,4.889063534315676,0.91622302117882,1.488377194717271,1.539337790810308,1.8860580160805387,-0.73645554002313,-0.3014035208928924,-0.8116908515779052,0.0005612256137641,High decision value / High execution,-0.5409120527621053,0.550318538787024,8,7,-0.9528630592451951,0.43243464150045297,0.21640751922206514,0.6514595383523027,Above full-sample baseline,Above xPass expectation,True,6,3,18
AS Monaco,Gabriel Boschilia,5,66,0.7727272727272727,0.7552735316060607,0.0174537423333333,0.0271178195691666,0.1105226740454545,0.827774595804,1.2542039330363637,1.8127322645,2.746564037121212,-0.98495767614,-1.4923601153636363,-1.090389410935,-1.6521051680833336,1.1519469940000002,1.7453742333333335,False,0.6607142857142857,0.913793103448276,0.7168069506444444,0.7994133180434781,-10.09337549375,13.180091965517242,0.6525702769323529,1.7006693332264706,2.1555376046551724,3.288211365694444,-2.054457900736765,-0.722974980912472,-3.729667719357143,0.8814760118103449,Not eligible,,,19,10,-0.9528630592451951,-0.5394970561184412,-1.1015948414915697,0.22988807833272307,Includes full-sample baseline,Includes zero,False,,,18
AS Monaco,Guido Marcelo Carrillo,31,493,0.6308316430020284,0.6548975198478703,-0.0240658770689655,0.0070631513812981,0.1102153548661257,-2.806545945206,-0.5692790963906693,18.55996580381,3.764698946006085,-21.36651178925,-4.33397805055781,-23.57224216539,-4.781387863162272,-11.864477395000002,-2.406587706896552,True,0.5766453732335115,0.6780040229885058,0.6176304490594122,0.6874646388350543,-5.407833486372656,0.1486394801709684,-0.9769505074705626,-0.2247544036040973,3.301978212351932,4.316705080689927,-4.982459019689024,-3.847425024086387,-5.5478263120607725,-4.127033011854025,Low decision value / Low execution,-0.5409120527621053,0.550318538787024,30,25,-0.9528630592451951,-3.3811149913126144,-4.029595960443829,-2.8945619648411918,Below full-sample baseline,Includes zero,True,18,16,18
