scenario,n,mean_expected_reward,median_expected_reward,positive_reward_rate,mean_gain,mean_cost,zero_cross_risk,spearman_expected_reward_vs_baseline
baseline,1883940,0.03953894816634218,0.027924122879799,0.6004814378377231,0.07822462657484121,0.25000665204612715,0.3268091877917229,
cv_short_h2_g090,1883940,0.03251207101412673,0.020412337824382502,0.5739933331210123,0.07035807840837455,0.25000665204612715,0.31157963327207305,0.9978755703318937
cv_long_h5_g098,1883940,0.051073646528642526,0.0396196054604993,0.6364385277662771,0.09137199070554905,0.25000665204612715,0.3560713266205467,0.9961803336685245
window3,1883940,0.03364485080562499,0.0222300374050975,0.5801049927280062,0.07139229660861356,0.25000665204612715,0.30694142074334135,0.9942171657522566
window7,1883940,0.03682347693647685,0.0252590881025608,0.5908341029969107,0.07521779190676393,0.25000665204612715,0.3207354378193511,0.9960791991426863
prior20,1883940,0.03951610232115997,0.02790067174989415,0.6004203955539985,0.07819892072613419,0.25000665204612715,0.3267551507970838,0.9999999278372429
prior100,1883940,0.039564404219522314,0.02794735622767565,0.6005493805535208,0.07825321644279497,0.25000665204612715,0.32686853529093796,0.9999999443948897
