variable,count,mean,std,min,25%,50%,75%,95%,max
risk,1883940.0,0.12744343025283564,0.15010004896217685,0.0010000000000000009,0.04073873587383425,0.0756671032740086,0.1416662271328966,0.4642230715162097,0.9899075539742287
xpass_prob,1883940.0,0.872556569747165,0.15010004896217688,0.0100924460257713,0.8583337728671034,0.9243328967259914,0.9592612641261657,0.9821178531612782,0.999
GainOnSuccess,1883940.0,0.07822462657484121,0.1434243530568337,-0.7938393233600253,-0.013368641430524682,0.06680149228302096,0.15238315056780574,0.33074550297253763,0.9197363696546341
CostOnFailure,1883940.0,0.2500066520461272,0.18534992841030778,0.007210322840595642,0.10256347237694859,0.21438035716790627,0.3395141898273067,0.6410083205904957,0.9312378953670561
expected_reward,1883940.0,0.03953894816634219,0.13190696591407142,-0.7913955850403384,-0.04681646607233228,0.02792412287979907,0.1101788216765553,0.26532911187693436,0.9034033368805304
receiver_CV_cond,1883940.0,0.11347721234588656,0.07856605231506604,-0.4324198067188263,0.06766600179406272,0.11929951306113667,0.17383270781168408,0.22283579904469464,0.41311943531036377
passer_marginal,1883940.0,-0.005219310094287069,0.005284194793128746,-0.04385265646105566,-0.007426658478135785,-0.004251220784943945,-0.0018054309466473233,0.0008737874806823896,0.009517949183865806
