scenario,lambda_cv,passer_weight,cost_w_turn,cost_w_start,cost_w_end,n,mean_expected_reward,median_expected_reward,positive_reward_rate,mean_gain,mean_cost,zero_cross_risk,spearman_expected_reward_vs_baseline
baseline,0.3,0.05,0.7,0.15,0.15,1883940,0.03953894816634219,0.02792412287979911,0.6004814378377231,0.07822462657484121,0.25000665204612715,0.3268091877917229,
lambda_low,0.15,0.05,0.7,0.15,0.15,1883940,0.02419516464748485,0.012201714037034277,0.5433235665679375,0.061203044722958296,0.25000665204612715,0.2907307579781867,0.996055837885688
lambda_high,0.45,0.05,0.7,0.15,0.15,1883940,0.05488273168519954,0.04420313709804605,0.6540553308491778,0.09524620842672415,0.25000665204612715,0.3579724279883268,0.9957783788109017
passer_low,0.3,0.02,0.7,0.15,0.15,1883940,0.03967905968761097,0.02805781871792754,0.6008752932683631,0.07838120587766981,0.25000665204612715,0.32712198951024896,0.9999992152820485
passer_high,0.3,0.1,0.7,0.15,0.15,1883940,0.039305428964227555,0.027705960114002493,0.5997616696922408,0.07796366107012687,0.25000665204612715,0.32628701171774926,0.9999978229452368
cost_60_20_20,0.3,0.05,0.6,0.2,0.2,1883940,0.03946159520681399,0.027848760335042348,0.59988746987696,0.07822462657484121,0.2507245729566182,0.3268282595209053,0.999960811980598
cost_80_10_10,0.3,0.05,0.8,0.1,0.1,1883940,0.03961630112587039,0.02802901180481752,0.6011162775884582,0.07822462657484121,0.24928873113563588,0.326790266046525,0.9999607257366012
